site_no,rbiValue_1970,rbiValue_2020,tau,sl,S,D,varS,estimates.Sen's slope,statistic.z,p.value,null.value.z,alternative,method,parameter.n,conf.int1,conf.int2,binary_pvalue,slope_greater0,highlight
01100600,0.127621944749036,0.186977342737614,0.0302040819078684,0.763311624526978,37,1225,14291.6669921875,9.01879264845011e-5,0.30113487965269,0.763311644610786,0,two.sided,Sen's slope,50,-6.29870859360518e-4,8.26903036705962e-4,non-significant,true,true
01101000,0.0549048258117798,0.0953544844753243,0.395918369293213,5.14984130859375e-5,485,1225,14291.6669921875,7.10209997811296e-4,4.04859115977506,5.15268643785345e-5,0,two.sided,Sen's slope,50,4.14280306911526e-4,0.00104710403738619,significant,true,true
01102000,0.0583338718826968,0.0764341611976638,0.054693877696991,0.580893039703369,67,1225,14291.6669921875,1.09621296879243e-4,0.552080612696599,0.580893124138696,0,two.sided,Sen's slope,50,-2.06831124897183e-4,4.83772777217161e-4,non-significant,true,true
01102500,0.241352399508392,0.307733076687674,-0.0122448978945613,0.906774461269379,-15,1225,14291.6669921875,-5.56333279599502e-5,-0.117108008753824,0.90677446334059,0,two.sided,Sen's slope,50,-0.00105276159812986,7.58189094551971e-4,non-significant,false,true
01103500,0.0630832400149309,0.0706308080952389,0.0236734692007303,0.814817190170288,29,1225,14291.6669921875,1.83853187543335e-5,0.234216017507648,0.814817280649534,0,two.sided,Sen's slope,50,-1.53254279678579e-4,2.24614624335315e-4,non-significant,true,true
01104200,0.058189569252604,0.0605814556123819,-0.22122448682785,0.023913785815239,-271,1225,14291.6669921875,-2.84522285919359e-4,-2.25851159739518,0.0239137823614939,0,two.sided,Sen's slope,50,-4.9511615797201e-4,-2.00888880259089e-5,significant,false,true
01104500,0.0683958659125916,0.0699381688010873,-0.222857147455215,0.022891454398632,-273,1225,14291.6669921875,-2.6096667066694e-4,-2.27524131293144,0.0228914578254205,0,two.sided,Sen's slope,50,-4.8176293969474e-4,-3.39830246533336e-5,significant,false,true
01105000,0.176085717404223,0.199939862188943,0.121632650494576,0.215716481208801,149,1225,14291.6669921875,2.23739298471639e-4,1.23799894968328,0.215716450276169,0,two.sided,Sen's slope,50,-1.40863447556497e-4,6.2571766888919e-4,non-significant,true,true
01105500,0.186963169049666,0.23136963777626,0.283265292644501,0.00380074977874756,347,1225,14291.6669921875,6.68374420469143e-4,2.89424078777308,0.00380076577941567,0,two.sided,Sen's slope,50,2.30677897178126e-4,0.00105133577746807,significant,true,true
01105600,0.314477528439112,0.429839677966718,0.252244889736176,0.00998413562774658,309,1225,14291.6669921875,0.00184650818782208,2.57637619258413,0.00998419538549779,0,two.sided,Sen's slope,50,4.90463306662044e-4,0.00309887529150674,significant,true,true
01105730,0.255735607022782,0.261709498077452,-0.0040816324763,0.973308205604553,-5,1225,14291.6669921875,-6.27277650752523e-6,-0.0334594310725211,0.973308217017883,0,two.sided,Sen's slope,50,-4.63525281646147e-4,4.1586856261604e-4,non-significant,false,true
01109000,0.116222004533057,0.148311337814539,0.108571425080299,0.269523143768311,133,1225,14291.6669921875,2.25662182036e-4,1.1041612253932,0.269523206273611,0,two.sided,Sen's slope,50,-1.80836885463824e-4,5.91248954976519e-4,non-significant,true,true
01109060,0.096285154686029,0.107477775513924,0.121632650494576,0.215716481208801,149,1225,14291.6669921875,2.3590153234976e-4,1.23799894968328,0.215716450276169,0,two.sided,Sen's slope,50,-1.57182959845401e-4,5.71667995088657e-4,non-significant,true,true
01110000,0.10525743981603,0.135725259505101,0.30775511264801,0.00165975093841553,377,1225,14291.6669921875,8.42905865867471e-4,3.14518652081699,0.0016598097013283,0,two.sided,Sen's slope,50,3.26774367925824e-4,0.0013188195466613,significant,true,true
01111500,0.151192930179399,0.20702257360946,0.0318367332220078,0.750587701797485,39,1225,14291.6669921875,1.3745465147141e-4,0.317864595188951,0.75058764974237,0,two.sided,Sen's slope,50,-5.98855059807233e-4,8.20944891450375e-4,non-significant,true,true
01112500,0.122535198498681,0.173011452414193,0.0204081628471613,0.840888977050781,25,1225,14291.6669921875,5.5559107568117e-5,0.200756586435127,0.840888910748716,0,two.sided,Sen's slope,50,-3.78222718383728e-4,5.70672510357457e-4,non-significant,true,true
01114500,0.11928667049149,0.142121158086096,0.113469384610653,0.248356580734253,139,1225,14291.6669921875,2.8186523222475e-4,1.15435037200198,0.248356552804379,0,two.sided,Sen's slope,50,-1.86583234106502e-4,8.49556572448116e-4,non-significant,true,true
01116000,0.208891045006505,0.0799615703862681,-0.340408176183701,5.01823960803449e-4,-417,1225,14291.6669921875,-0.0018328272934338,-3.4797808315422,5.0182412250329e-4,0,two.sided,Sen's slope,50,-0.00263182208550203,-8.64978529501991e-4,significant,false,true
01117000,0.244173492449652,0.213061450235405,0.115102037787437,0.24156665802002,141,1225,14291.6669921875,2.85398892896594e-4,1.1710800875382401,0.241566586968973,0,two.sided,Sen's slope,50,-1.9735713401095e-4,8.4990932594953e-4,non-significant,true,true
01117500,0.074896784322847,0.0821542930800814,0.443265318870544,5.84125518798828e-6,543,1225,14291.6669921875,5.27934662099489e-4,4.53375291032661,5.79448097833488e-6,0,two.sided,Sen's slope,50,3.05643926154334e-4,7.1449464619418e-4,significant,true,true
01118000,0.128141028403948,0.151950297803241,0.111836731433868,0.255278825759888,137,1225,14291.6669921875,2.66560864193433e-4,1.13762065646572,0.255278917379629,0,two.sided,Sen's slope,50,-1.13641900167113e-4,7.38473930504709e-4,non-significant,true,true
01118300,0.265784208588761,0.286044756209452,0.0367346927523613,0.712833166122437,45,1225,14291.6669921875,1.71698501146668e-4,0.368053741797733,0.712833162190734,0,two.sided,Sen's slope,50,-7.38368433375411e-4,0.00120990622972665,non-significant,true,true
01118500,0.0837474245545994,0.0932291698592016,0.328979581594467,7.71880149841309e-4,403,1225,14291.6669921875,5.19543587358922e-4,3.36267282278837,7.71917913016484e-4,0,two.sided,Sen's slope,50,2.25630537614128e-4,7.87508494750907e-4,significant,true,true
01119500,0.1812348757058,0.244152186684197,-0.137959182262421,0.159933254122734,-169,1225,14291.6669921875,-4.42638565860499e-4,-1.40529610504589,0.159933246094459,0,two.sided,Sen's slope,50,-0.00116598924794286,2.02565680166273e-4,non-significant,false,true
01121000,0.3153776317496,0.32620132339618,-0.144489794969559,0.140962839126587,-177,1225,14291.6669921875,-6.5002347546525e-4,-1.47221496719093,0.140962836913241,0,two.sided,Sen's slope,50,-0.00156542633398033,2.39113097019363e-4,non-significant,false,true
01122500,0.169630760168153,0.222974989295955,-0.0775510221719742,0.431693732738495,-95,1225,14291.6669921875,-1.63696646489997e-4,-0.786296630204247,0.431693726220145,0,two.sided,Sen's slope,50,-5.94279203040062e-4,2.90180762106e-4,non-significant,false,true
01123000,0.230578303583372,0.332717516032009,0.0497959181666374,0.61574387550354,61,1225,14291.6669921875,2.43574078790213e-4,0.501891466087817,0.615743868576716,0,two.sided,Sen's slope,50,-9.34486460879062e-4,0.00131265486333558,non-significant,true,true
01129200,0.106630177882821,0.142559979980606,0.248979598283768,0.0109931230545044,305,1225,14291.6669921875,4.62000184571036e-4,2.54291676151161,0.0109931414063229,0,two.sided,Sen's slope,50,9.69027471693054e-5,7.53766172859773e-4,significant,true,true
01134500,0.219450414491864,0.396454752807091,0.309387743473053,0.00156736373901367,379,1225,14291.6669921875,0.00128013771168933,3.16191623635325,0.00156734642073783,0,two.sided,Sen's slope,50,4.80032493641665e-4,0.00223066273606173,significant,true,true
01135500,0.198949319379543,0.299212208467132,0.136326536536217,0.16496467590332,167,1225,14291.6669921875,4.20865241903735e-4,1.38856638950963,0.164964643698312,0,two.sided,Sen's slope,50,-1.66005929268125e-4,0.00112718132084656,non-significant,true,true
01137500,0.269160015428894,0.358342859858766,0.133061230182648,0.175383448600769,163,1225,14291.6669921875,8.11085211501636e-4,1.35510695843711,0.175383482028116,0,two.sided,Sen's slope,50,-1.99114821264473e-4,0.00177538993926854,non-significant,true,true
01139000,0.194590657016637,0.260785401373566,0.281632661819458,0.00400829315185547,345,1225,14291.6669921875,9.4009565108029e-4,2.87751107223682,0.00400825843713099,0,two.sided,Sen's slope,50,3.04390110615801e-4,0.00154396874985537,significant,true,true
01139800,0.238536066980583,0.301601041142987,0.115102037787437,0.24156665802002,141,1225,14291.6669921875,3.97988560979394e-4,1.1710800875382401,0.241566586968973,0,two.sided,Sen's slope,50,-3.27516214586765e-4,0.00114643000894249,non-significant,true,true
01144000,0.181159933724302,0.259287565101131,0.128163263201714,0.191920876502991,157,1225,14291.6669921875,5.78241253618235e-4,1.30491781182832,0.191920835377182,0,two.sided,Sen's slope,50,-3.50283379387301e-4,0.0013769313921073,non-significant,true,true
01151500,0.174274575021376,0.325733547615882,0.167346939444542,0.0879278182983398,205,1225,14291.6669921875,8.92266057619188e-4,1.70643098469858,0.0879278657899547,0,two.sided,Sen's slope,50,-1.49283229015969e-4,0.00188727957545503,non-significant,true,true
01152500,0.174677998111426,0.212548528695851,0.061224490404129,0.535916686058044,75,1225,14291.6669921875,1.52523822026585e-4,0.618999474841641,0.5359167048477,0,two.sided,Sen's slope,50,-4.08743708458149e-4,7.19925788758897e-4,non-significant,true,true
01154500,0.193478001146535,0.176646654485339,-0.0808163285255432,0.412355184555054,-99,1225,14291.6669921875,-1.51953293424692e-4,-0.819756061276768,0.412355183890253,0,two.sided,Sen's slope,50,-5.07425099780411e-4,2.3418189675855e-4,non-significant,false,true
01161000,0.110104015665929,0.151551013887864,0.0971428602933884,0.323616504669189,119,1225,14291.6669921875,2.06052235695346e-4,0.987053216639374,0.323616550765968,0,two.sided,Sen's slope,50,-1.67364977115003e-4,6.00930767918534e-4,non-significant,true,true
01162000,0.109299808892266,0.134587355561134,-0.0318367332220078,0.750587642192841,-39,1225,14291.6669921875,-6.45932541393636e-5,-0.317864595188951,0.75058764974237,0,two.sided,Sen's slope,50,-4.66232609712428e-4,4.53155130560775e-4,non-significant,false,true
01162500,0.147710544665685,0.21581171700013,-0.00734693882986903,0.946646273136139,-9,1225,14291.6669921875,-3.94391135392611e-5,-0.0669188621450423,0.94664629687619,0,two.sided,Sen's slope,50,-7.28870496124959e-4,5.96366857825409e-4,non-significant,false,true
01163200,0.126058656015385,0.201871710088496,0.0938775539398193,0.340289354324341,115,1225,14291.6669921875,2.00959977641364e-4,0.953593785566852,0.340289302637846,0,two.sided,Sen's slope,50,-2.47254478620375e-4,7.05443042176165e-4,non-significant,true,true
01166500,0.0985464682735439,0.128328832353213,-0.0448979586362839,0.651483416557312,-55,1225,14291.6669921875,-8.00524711940337e-5,-0.451702319479035,0.651483447052109,0,two.sided,Sen's slope,50,-4.904490432348e-4,3.3159460619825e-4,non-significant,false,true
01169000,0.253448862964708,0.324987104635603,-0.142857149243355,0.145534977316856,-175,1225,14291.6669921875,-9.74902495320456e-4,-1.45548525165467,0.145534970276369,0,two.sided,Sen's slope,50,-0.00206623314442186,3.07107083319256e-4,non-significant,false,true
01169900,0.263100016110166,0.294996693850562,-0.0661224499344826,0.503375172615051,-81,1225,14291.6669921875,-4.36892113766424e-4,-0.669188621450423,0.503375163703577,0,two.sided,Sen's slope,50,-0.00178286209139064,0.00119561122898257,non-significant,false,true
01170100,0.237496239255696,0.341671240880775,-0.0644897967576981,0.514105200767517,-79,1225,14291.6669921875,-4.00133046289479e-4,-0.652458905914162,0.514105174538706,0,two.sided,Sen's slope,50,-0.00160171468732711,6.10831152400285e-4,non-significant,false,true
01170500,0.175109368212185,0.191508579974811,0.0824489817023277,0.402881622314453,101,1225,14291.6669921875,1.29330121780689e-4,0.836485776813028,0.402881674992069,0,two.sided,Sen's slope,50,-2.38147675061274e-4,4.74817241486461e-4,non-significant,true,true
01171500,0.226173270809722,0.314318969247308,0.118367344141006,0.228381037712097,145,1225,14291.6669921875,7.21605269187113e-4,1.20453951861076,0.228381117309063,0,two.sided,Sen's slope,50,-4.42994000680943e-4,0.00204590998838631,non-significant,true,true
01173500,0.113552009860987,0.167103023123561,-0.253877550363541,0.00951135065406561,-311,1225,14291.6669921875,-7.28951218388081e-4,-2.59310590812039,0.00951134759684831,0,two.sided,Sen's slope,50,-0.00124280806013618,-1.792986508108e-4,significant,false,true
01174500,0.149681157392835,0.199745109563657,-0.162448972463608,0.0976728647947311,-199,1225,14291.6669921875,-6.82352165371708e-4,-1.6562418380898,0.0976728536695284,0,two.sided,Sen's slope,50,-0.00162934526587336,1.96673942036766e-4,non-significant,false,true
01177000,0.114663992890185,0.116860275820368,-0.239183679223061,0.0145843736827374,-293,1225,14291.6669921875,-5.29121657353e-4,-2.44253846829404,0.0145843752103146,0,two.sided,Sen's slope,50,-9.05512318148734e-4,-1.00942666918364e-4,significant,false,true
01181000,0.271326512912706,0.353246235992582,-0.154285714030266,0.115813031792641,-189,1225,14291.6669921875,-0.00128431210932454,-1.57259326040849,0.115813029236007,0,two.sided,Sen's slope,50,-0.00274376671363703,4.20205656784882e-4,non-significant,false,true
01183500,0.191019465234406,0.214682816731967,0.0530612245202065,0.5924072265625,65,1225,14291.6669921875,1.80382964624689e-4,0.535350897160338,0.592407237522452,0,two.sided,Sen's slope,50,-4.56655069210533e-4,7.34934799256706e-4,non-significant,true,true
01184000,0.122909645305156,0.159212510622004,0.154285714030266,0.115813016891479,189,1225,14291.6669921875,2.63254126176263e-4,1.57259326040849,0.115813029236007,0,two.sided,Sen's slope,50,-8.98601653523308e-5,5.514472748422e-4,non-significant,true,true
01185500,0.199421090116746,0.231642932654995,-0.134693875908852,0.170114293694496,-165,1225,14291.6669921875,-4.8391527727909e-4,-1.37183667397337,0.170114287657054,0,two.sided,Sen's slope,50,-0.0012370085209345,1.78231329992649e-4,non-significant,false,true
01187300,0.315315785938701,0.404082155788394,-0.0155102042481303,0.880316972732544,-19,1225,14291.6669921875,-1.27639636006375e-4,-0.150567439826345,0.880316947769583,0,two.sided,Sen's slope,50,-0.00177532302686126,0.00117515948091053,non-significant,false,true
01196500,0.18275543451831,0.261244239568151,0.0448979586362839,0.651483416557312,55,1225,14291.6669921875,1.61087328424092e-4,0.451702319479035,0.651483447052109,0,two.sided,Sen's slope,50,-6.07093864550201e-4,9.63570760314378e-4,non-significant,true,true
01197000,0.228214132148488,0.330018761939805,-0.0775510221719742,0.431693732738495,-95,1225,14291.6669921875,-4.24486752632153e-4,-0.786296630204247,0.431693726220145,0,two.sided,Sen's slope,50,-0.0013556754277318,6.172995448364e-4,non-significant,false,true
01197500,0.122195680240499,0.182315859928491,0.0465306118130684,0.639475584030151,57,1225,14291.6669921875,1.12446390092125e-4,0.468432035015296,0.639475663584923,0,two.sided,Sen's slope,50,-2.9989142031111e-4,6.13578651230275e-4,non-significant,true,true
01200500,0.11504682337231,0.125803866539866,-0.139591842889786,0.155018761754036,-171,1225,14291.6669921875,-3.22926050920776e-4,-1.42202582058215,0.155018755312122,0,two.sided,Sen's slope,50,-6.73507764881192e-4,9.38371355472086e-5,non-significant,false,true
01205500,0.281940254938212,0.226427542526638,-0.422040820121765,1.58690309035592e-5,-517,1225,14291.6669921875,-0.002402890710514,-4.31626660835523,1.58690298603104e-5,0,two.sided,Sen's slope,50,-0.003872520989173,-0.00149868904914189,significant,false,true
01208500,0.248937857762092,0.267706070105879,0.204897955060005,0.0365087985992432,251,1225,14291.6669921875,5.78090481968547e-4,2.09121444203257,0.0365088452869771,0,two.sided,Sen's slope,50,3.10935511100381e-5,0.00117677059633908,significant,true,true
01208990,0.238072140739885,0.27693542956733,-0.0742857158184052,0.451547741889954,-91,1225,14291.6669921875,-4.02216346397363e-4,-0.752837199131726,0.451547750080907,0,two.sided,Sen's slope,50,-0.0012971002465906,5.44474053934257e-4,non-significant,false,true
01209700,0.329664969177164,0.317938526564721,-0.0889795944094658,0.366311192512512,-109,1225,14291.6669921875,-3.88339600428356e-4,-0.903404638958071,0.366311178847137,0,two.sided,Sen's slope,50,-0.00143200963044027,6.05519124131667e-4,non-significant,false,true
01305000,0.0509803921568627,0.0211793444728459,-0.214693874120712,0.0284089297056198,-263,1225,14291.6669921875,-2.28962309579255e-4,-2.19159273525013,0.02840892697893,0,two.sided,Sen's slope,50,-4.06315445655664e-4,-3.44912026323715e-5,significant,false,true
01305500,0.0755000835794283,0.0378636678549963,-0.516734719276428,1.24617500318891e-7,-633,1225,14291.6669921875,-0.00112770991589745,-5.28659010945834,1.24617443604005e-7,0,two.sided,Sen's slope,50,-0.00142479571670258,-8.14619340097704e-4,significant,false,true
01311500,1.56773457902674,0.344322860238353,-0.70612245798111,4.92918260461966e-13,-865,1225,14291.6669921875,-0.0278839703576967,-7.22723711166457,4.92919062960762e-13,0,two.sided,Sen's slope,50,-0.0319185823645957,-0.023483094903649,significant,false,false
01315000,0.0497346992079217,0.028054836382157,-0.113469384610653,0.248356521129608,-139,1225,14291.6669921875,-2.38007729336173e-4,-1.15435037200198,0.248356552804379,0,two.sided,Sen's slope,50,-7.6845606178398e-4,1.77495886944461e-4,non-significant,false,true
01315500,0.120594424386704,0.225588088666043,0.219591841101646,0.0249754190444946,269,1225,14291.6669921875,5.27422806677001e-4,2.24178188185892,0.0249754727739968,0,two.sided,Sen's slope,50,5.55556581262857e-5,9.16613945425577e-4,significant,true,true
01318500,0.0955112939925499,0.146602132819197,0.110204078257084,0.26233434677124,135,1225,14291.6669921875,1.91532010978374e-4,1.12089094092946,0.262334287449941,0,two.sided,Sen's slope,50,-1.48428939470857e-4,5.23516391551222e-4,non-significant,true,true
01321000,0.170458404074703,0.32227340245423,0.137959182262421,0.15993320941925,169,1225,14291.6669921875,3.94002713724045e-4,1.40529610504589,0.159933246094459,0,two.sided,Sen's slope,50,-2.24207813258418e-4,0.00103842294890205,non-significant,true,true
01325000,0.312807255935218,0.116158780411126,-0.415510207414627,2.14393985515926e-5,-509,1225,14291.6669921875,-0.002712947853921,-4.24934774621018,2.14393872282921e-5,0,two.sided,Sen's slope,50,-0.00404828285365655,-0.00136484067138412,significant,false,true
01331500,0.180616365568544,0.266749951762232,-0.05795918405056,0.558184623718262,-71,1225,14291.6669921875,-2.05569152000115e-4,-0.58554004376912006,0.558184649422657,0,two.sided,Sen's slope,50,-0.00107175367555523,5.29352787403353e-4,non-significant,false,true
01332500,0.21311494359164,0.307064075123889,0.0693877562880516,0.482275009155273,85,1225,14291.6669921875,2.74405530486777e-4,0.702648052522944,0.482275108504501,0,two.sided,Sen's slope,50,-5.16595372435084e-4,0.00110687464385461,non-significant,true,true
01333000,0.21044649493592,0.304043795499321,-0.203265309333801,0.0380343049764633,-249,1225,14291.6669921875,-0.00102961974395057,-2.07448472649631,0.0380343157958867,0,two.sided,Sen's slope,50,-0.0019929011572089,-6.28515857390213e-5,significant,false,true
