site_no,estimates,statistic,p.value,null.value,alternative,data.name,method,parameter,conf.int,conf.int2
01011000,0.000147956249084631,1.05397207878442,0.291895700594215,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000166748286491765,0.000464112215211619
01013500,0.000060570776990617,1.00378293217563,0.315483252916377,0,two.sided,trend_timeSeries,Sen's slope,50,-0.0000831118676900155,0.000214614314012967
01017000,0.000267013240586467,1.62278240701728,0.104635927875791,0,two.sided,trend_timeSeries,Sen's slope,50,-0.0000893007239470001,0.000716262043043727
01019000,-0.000288568042576347,-1.70643098469858,0.0879278657899547,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000650663645873567,0.0000686191705268594
01022500,0.0006803685216265,2.50945733043909,0.0120916823161518,0,two.sided,trend_timeSeries,Sen's slope,50,0.000186868364215615,0.00120173017967374
01030500,0.000303835605525156,2.12467387310509,0.0336138349987997,0,two.sided,trend_timeSeries,Sen's slope,50,0.0000266196642914286,0.000565422636246464
01031500,0.000933375932014602,1.92391728666997,0.0543649520575087,0,two.sided,trend_timeSeries,Sen's slope,50,-0.0000323400245689998,0.00197327719498038
01034500,0.00017381677394248,1.35510695843711,0.175383482028116,0,two.sided,trend_timeSeries,Sen's slope,50,-0.0000808376708691501,0.000443665417032189
01038000,-0.000259998026708256,-0.786296630204247,0.431693726220145,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000811869001922999,0.000342079702551654
01042500,-0.00381342216737441,-6.62496735235919,0.0000000000347324934783449,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00460362882828549,-0.00303825635089967
01046500,0.0004661585114105,1.84026870898866,0.0657287969290145,0,two.sided,trend_timeSeries,Sen's slope,50,-0.0000545996641335001,0.00105686042861219
01047000,0.00126808103791441,2.25851159739518,0.0239137823614939,0,two.sided,trend_timeSeries,Sen's slope,50,0.00025319785211526,0.00229859016294086
01052500,0.00168331476054735,4.0318614442388,0.0000553368097169852,0,two.sided,trend_timeSeries,Sen's slope,50,0.000879355373752583,0.00248835965622287
01053500,0.0000941742723930726,0.685918336986683,0.49276460624325,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000262623582898829,0.00042047173214275
01054000,0.000725700298702089,3.5634294092235,0.000366041162108066,0,two.sided,trend_timeSeries,Sen's slope,50,0.000343383167437965,0.00106028636448026
01054200,0.00161043351937822,2.15813330417761,0.0309174690613433,0,two.sided,trend_timeSeries,Sen's slope,50,0.000131693905593321,0.00329089708521282
01054500,0.00048018023103464,1.9071875711337,0.0564963023813092,0,two.sided,trend_timeSeries,Sen's slope,50,-0.0000243009736110005,0.00100135844005104
01055000,0.00135866168057272,2.07448472649631,0.0380343157958867,0,two.sided,trend_timeSeries,Sen's slope,50,0.0000865577288973962,0.00266861072105562
01057000,0.000705620258519071,1.32164752736458,0.186285549238115,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000321707304099072,0.00164611837110448
01059000,-0.000367050978855311,-2.39234932168526,0.0167409004574302,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000636625025040644,-0.0000965709380998001
01064500,0.000620547460438175,1.17108008753824,0.241566586968973,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000421607280331743,0.0017289658067595
01066000,0.00005830293038388,0.368053741797733,0.712833162190734,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000142769307210453,0.000250191089223262
01073000,0.000829839820478514,1.50567439826345,0.132150779291224,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000231411178084611,0.00196872715552834
01073500,0.000204193422204455,0.786296630204247,0.431693726220145,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000273584776969575,0.000762149849473871
01076500,0.00107528287810107,2.22505216632266,0.0260777363536723,0,two.sided,trend_timeSeries,Sen's slope,50,0.000112996628112128,0.0018971396895621
01078000,0.000160759270365666,0.568810328232859,0.569484864788368,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000479617667026354,0.000876418655629337
01081000,-0.0000235510578308153,-0.250945733043909,0.801856065566224,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000198843424387569,0.000161428198452365
01092000,0.0000662392091990358,0.535350897160338,0.592407237522452,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000197731873195545,0.000317747116869085
01094500,0.000708739120437399,1.48894468272719,0.136501935965376,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000183712202086547,0.00176979919210983
01096000,-0.0000973818771187348,-0.133837724290085,0.893530895868823,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000899789992911557,0.000831457401870474
01096500,-0.00142221065344603,-4.45010433264531,0.00000858285831412593,0,two.sided,trend_timeSeries,Sen's slope,50,-0.0020429820524592,-0.000834397129666668
01097000,0.000552439174107889,3.54669969368724,0.000390088977962585,0,two.sided,trend_timeSeries,Sen's slope,50,0.000275449800531602,0.000879956487275676
01097300,0.00126726477897933,3.42959168493342,0.000604490165815662,0,two.sided,trend_timeSeries,Sen's slope,50,0.000586412723356001,0.00197217372402378
01099500,0.000244538834887829,2.4592681838303,0.0139220575638396,0,two.sided,trend_timeSeries,Sen's slope,50,0.0000658700528482749,0.00042591271209111
01100000,-0.0000389843565749472,-0.217486301971387,0.827829380976393,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000267112765571623,0.000208839912830148
01100600,0.0000901879264845011,0.30113487965269,0.763311644610786,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000629870859360518,0.000826903036705962
01101000,0.000710209997811296,4.04859115977506,0.0000515268643785345,0,two.sided,trend_timeSeries,Sen's slope,50,0.000414280306911526,0.00104710403738619
