site_no,rbiValue_1970,rbiValue_2020
01011000,0.105284889120045,0.116272614681875
01013500,0.055096511013347,0.0528153417912879
01017000,0.108985063524491,0.125410151150503
01019000,0.0402266494742386,0.0353042994467283
01022500,0.129271214870092,0.208887132113891
01030500,0.0716800895563832,0.107211194810927
01031500,0.221377023600546,0.316413437773956
01034500,0.072727357878641,0.101170863732643
01038000,0.102632986173003,0.15284867327019
01042500,0.273185779577778,0.127790726090303
01046500,0.092527825998162,0.105862332430367
01047000,0.263296363367868,0.337522899630341
01052500,0.24266513936617,0.396393711999136
01053500,0.040742344145329,0.0590954432870763
01054000,0.048317072032118,0.0868608334361759
01054200,0.335120054010199,0.524022672378375
01054500,0.11090609505152,0.164375304588709
01055000,0.323633984869501,0.437366739018714
01057000,0.251450625792579,0.344060200004651
01059000,0.187001974112865,0.163502386989002
01064500,0.224916090078941,0.291565454220428
01066000,0.05537611975124,0.07416720876278
01073000,0.173544131580865,0.312714075113306
01073500,0.0987601474419258,0.151799999500797
01076500,0.223083141679226,0.33111327446532
01078000,0.176217522544972,0.264325079716862
01081000,0.0544333187600545,0.0555608893994728
01092000,0.12248150296671,0.145477631532579
01094500,0.166677852348993,0.244740077461536
01096000,0.162403233937074,0.234280851653439
01096500,0.321449093486909,0.153111114100339
01097000,0.0824192799531912,0.138404659039464
01097300,0.151261366668719,0.257836058855016
01099500,0.0476000280666908,0.0514206606775246
01100000,0.0998781486586365,0.115825532898228
01100600,0.127621944749036,0.186977342737614
01101000,0.0549048258117798,0.0953544844753243
01102000,0.0583338718826968,0.0764341611976638
01102500,0.241352399508392,0.307733076687674
01103500,0.0630832400149309,0.0706308080952389
01104200,0.058189569252604,0.0605814556123819
01104500,0.0683958659125916,0.0699381688010873
01105000,0.176085717404223,0.199939862188943
01105500,0.186963169049666,0.23136963777626
01105600,0.314477528439112,0.429839677966718
01105730,0.255735607022782,0.261709498077452
01109000,0.116222004533057,0.148311337814539
01109060,0.096285154686029,0.107477775513924
01110000,0.10525743981603,0.135725259505101
01111500,0.151192930179399,0.20702257360946
01112500,0.122535198498681,0.173011452414193
01114500,0.11928667049149,0.142121158086096
01116000,0.208891045006505,0.0799615703862681
01117000,0.244173492449652,0.213061450235405
01117500,0.074896784322847,0.0821542930800814
01118000,0.128141028403948,0.151950297803241
01118300,0.265784208588761,0.286044756209452
01118500,0.0837474245545994,0.0932291698592016
01119500,0.1812348757058,0.244152186684197
01121000,0.3153776317496,0.32620132339618
01122500,0.169630760168153,0.222974989295955
01123000,0.230578303583372,0.332717516032009
01129200,0.106630177882821,0.142559979980606
01134500,0.219450414491864,0.396454752807091
01135500,0.198949319379543,0.299212208467132
01137500,0.269160015428894,0.358342859858766
01139000,0.194590657016637,0.260785401373566
01139800,0.238536066980583,0.301601041142987
01144000,0.181159933724302,0.259287565101131
01151500,0.174274575021376,0.325733547615882
01152500,0.174677998111426,0.212548528695851
