STAID
1011000
1013500
1017000
1019000
1022500
1030500
1031500
1034500
1038000
1042500
1046500
1047000
1052500
1053500
1054000
1054200
1054500
1055000
1057000
1059000
1064500
1066000
1073000
1073500
1076500
1078000
1081000
1092000
1094500
1096000
1096500
1097000
1097300
1099500
1100000
1100600
1101000
1102000
1102500
1103500
1104200
1104500
1105000
1105500
1105600
1105730
1109000
1109060
1110000
1111500
1112500
1114500
1116000
1117000
1117500
1118000
1118300
1118500
1119500
1121000
1122500
1123000
1129200
1134500
1135500
1137500
1139000
1139800
1144000
1151500
1152500
1154500
1161000
1162000
1162500
1163200
1166500
1169000
1169900
1170100
1170500
1171500
1173500
1174500
1177000
1181000
1183500
1184000
1185500
1187300
1196500
1197000
1197500
1200500
1205500
1208500
1208990
1209700
1305000
1305500
1311500
1315000
1315500
1318500
1321000
1325000
1331500
1332500
1333000
1334000
1334500
1336000
1346000
1347000
1350000
1351500
1357500
1362200
1362500
1365000
1371500
1372500
1375000
1376800
1377000
1377500
1378500
1379000
1379500
1381000
1381500
1383500
1387500
1388000
1388500
1389500
1391500
1393450
1394500
1395000
1396500
1397000
1398000
1399500
1400000
1400500
1401000
1402000
1403060
1405400
1407500
1407705
1407760
1408000
1408500
1409400
1410000
1411000
1411500
1413500
1414500
1415000
1417000
1420500
1421000
1423000
1425000
1426500
1428500
1429000
1429500
1431500
1434000
1435000
1436000
1437500
1438500
1439500
1440000
1440400
1442500
1443900
1445500
1446500
1447500
1447680
1447720
1447800
1449360
1449800
1450500
1451000
1451500
1451800
1452000
1452500
1453000
1457000
1459500
1463500
1464000
1464500
1465798
1466500
1467000
1467048
1467150
1469500
1470500
1470960
1471000
1472000
1472157
1473000
1474000
1474500
1477120
1477800
1478000
1479000
1480000
1480300
1480675
1480700
1481000
1481500
1483200
1483700
1484100
1485500
1487000
1491000
1495000
1500000
1503000
1510000
1512500
1516500
1518000
1520000
1521500
1523500
1524500
1526500
1529500
1531000
1531500
1532000
1534000
1534300
1534500
1536000
1536500
1538000
1539000
1540500
1541000
1541200
1541500
1542810
1543000
1543500
1544000
1544500
1545000
1545500
1545600
1546500
1547100
1547200
1547500
1547700
1547950
1548500
1549500
1549700
1550000
1551500
1552500
1553500
1554000
1555000
1555500
1556000
1557500
1558000
1559000
1560000
1562000
1563200
1563500
1564500
1567000
1567500
1568000
1570000
1571500
1573000
1574000
1574500
1576500
